City,District,Village,Postal Code,number_of_bus
Jakarta Pusat,Gambir,Gambir,10110,18
Jakarta Pusat,Gambir,Kebon Kelapa,10120,5
Jakarta Pusat,Gambir,Petojo Selatan,10130,10
Jakarta Pusat,Gambir,Duri Pulo,10140,3
Jakarta Pusat,Gambir,Cideng,10150,14
Jakarta Pusat,Gambir,Petojo Utara,10160,5
Jakarta Pusat,Tanah Abang,Bendungan Hilir,10210,6
Jakarta Pusat,Tanah Abang,Karet Tengsin,10220,4
Jakarta Pusat,Tanah Abang,Kebon Melati,10230,1
Jakarta Pusat,Tanah Abang,Kebon Kacang,10240,10
Jakarta Pusat,Tanah Abang,Kampung Bali,10250,12
Jakarta Pusat,Tanah Abang,Petamburan,10260,6
Jakarta Pusat,Tanah Abang,Gelora,10270,15
Jakarta Pusat,Menteng,Menteng,10310,10
Jakarta Pusat,Menteng,Pegangsaan,10320,6
Jakarta Pusat,Menteng,Cikini,10330,3
Jakarta Pusat,Menteng,Kebon Sirih,10340,7
Jakarta Pusat,Menteng,Gondangdia,10350,1
Jakarta Pusat,Senen,Senen,10410,32
Jakarta Pusat,Senen,Kwitang,10420,5
Jakarta Pusat,Senen,Kenari,10430,15
Jakarta Pusat,Senen,Paseban,10440,5
Jakarta Pusat,Senen,Kramat,10450,47
Jakarta Pusat,Senen,Bungur,10460,16
Jakarta Pusat,Cempaka Putih,Cempaka Putih Timur,10510,7
Jakarta Pusat,Cempaka Putih,Cempaka Putih Barat,10520,3
Jakarta Pusat,Cempaka Putih,Rawasari,10530,4
Jakarta Pusat,Johar Baru,Galur,10530,3
Jakarta Pusat,Johar Baru,Tanah Tinggi,10540,8
Jakarta Pusat,Johar Baru,Kampung Rawa,10550,2
Jakarta Pusat,Johar Baru,Johar Baru,10560,8
Jakarta Pusat,Kemayoran,Gunung Sahari Selatan,10610,23
Jakarta Pusat,Kemayoran,Kemayoran,10620,12
Jakarta Pusat,Kemayoran,Kebon Kosong,10630,2
Jakarta Pusat,Kemayoran,Harapan Mulia,10640,18
Jakarta Pusat,Kemayoran,Cempaka Baru,10640,1
Jakarta Pusat,Kemayoran,Utan Panjang,10650,8
Jakarta Pusat,Kemayoran,Sumur Batu,10660,1
Jakarta Pusat,Kemayoran,Serdang,10670,3
Jakarta Pusat,Sawah Besar,Pasar Baru,10710,21
Jakarta Pusat,Sawah Besar,Gunung Sahari Utara,10720,7
Jakarta Pusat,Sawah Besar,Mangga Dua Selatan,10730,9
Jakarta Pusat,Sawah Besar,Karang Anyar,10740,0
Jakarta Pusat,Sawah Besar,Kartini,10750,1
Jakarta Utara,Koja,Koja Utara,14210,1
Jakarta Utara,Koja,Koja Selatan,14220,0
Jakarta Utara,Koja,Koja,14220,2
Jakarta Utara,Koja,Rawa Badak Utara,14230,6
Jakarta Utara,Koja,Rawa Badak Selatan,14230,0
Jakarta Utara,Koja,Tugu Utara,14260,15
Jakarta Utara,Koja,Tugu Selatan,14260,0
Jakarta Utara,Koja,Lagoa,14270,7
Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,14240,14
Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,14240,0
Jakarta Utara,Kelapa Gading,Pegangsaan Dua,14250,2
Jakarta Utara,Tanjung Priok,Tanjung Priok,14310,25
Jakarta Utara,Tanjung Priok,Kebon Bawang,14320,5
Jakarta Utara,Tanjung Priok,Sungai Bambu,14330,1
Jakarta Utara,Tanjung Priok,Papanggo,14340,0
Jakarta Utara,Tanjung Priok,Warakas,14340,2
Jakarta Utara,Tanjung Priok,Sunter Agung,14350,21
Jakarta Utara,Tanjung Priok,Sunter Jaya,14350,2
Jakarta Utara,Pademangan,Pademangan Timur,14410,2
Jakarta Utara,Pademangan,Pademangan Barat,14420,6
Jakarta Utara,Pademangan,Ancol,14430,2
Jakarta Utara,Penjaringan,Penjaringan,14430,0
Jakarta Utara,Penjaringan,Pluit,14440,14
Jakarta Utara,Penjaringan,Pejagalan,14450,15
Jakarta Utara,Penjaringan,Kapuk Muara,14460,3
Jakarta Utara,Penjaringan,Kamal Muara,14470,2
Jakarta Utara,Cilincing,Kali Baru,14110,1
Jakarta Utara,Cilincing,Cilincing,14120,9
Jakarta Utara,Cilincing,Semper Barat,14130,8
Jakarta Utara,Cilincing,Semper Timur,14130,0
Jakarta Utara,Cilincing,Sukapura,14140,5
Jakarta Utara,Cilincing,Rorotan,14140,2
Jakarta Utara,Cilincing,Marunda,14150,2
Jakarta Timur,Matraman,Pisangan Baru,13110,2
Jakarta Timur,Matraman,Utan Kayu Selatan,13120,11
Jakarta Timur,Matraman,Utan Kayu Utara,13120,0
Jakarta Timur,Matraman,Kayu Manis,13130,2
Jakarta Timur,Matraman,Pal Meriam,13140,0
Jakarta Timur,Matraman,Kebon Manggis,13150,30
Jakarta Timur,Pulo Gadung,Kayu Putih,13210,23
Jakarta Timur,Pulo Gadung,Jati,13220,84
Jakarta Timur,Pulo Gadung,Rawamangun,13220,17
Jakarta Timur,Pulo Gadung,Pisangan Timur,13230,8
Jakarta Timur,Pulo Gadung,Cipinang,13240,13
Jakarta Timur,Pulo Gadung,Jatinegara Kaum,13250,1
Jakarta Timur,Pulo Gadung,Pulo Gadung,13260,33
